ROLL NUMBER,TEACHER,SUBJECT,FEEDBACK_TEXT,teaching,coursecontent,examination,labwork,library_facilities,extracurricular
425,Prof. Khan,English,The syllabus was well-structured. The reading space in the library is great.,0,1,0,0,1,0
426,Prof. Khan,Economics,Course material was relevant and engaging. Exams were fair and well-balanced. The reading space in the library is great. Lab work was poorly managed.,0,1,1,1,1,0
427,Mr. Iyer,English,Good teaching methods and examples. Lab sessions helped reinforce theory. Exam patterns were predictable and easy.,1,0,1,1,0,0
428,Mr. Sharma,History,We faced issues in accessing the digital library. Lab assistants were very helpful. Evaluation was not up to the mark. The concepts were explained in a student-friendly way.,1,0,1,1,1,0
429,Ms. Joshi,Chemistry,Loved the cultural and sports events. Exams were fair and well-balanced. Labs were well-equipped and interesting. We faced issues in accessing the digital library.,0,0,1,1,1,1
430,Ms. Rani,Mathematics,Loved the cultural and sports events. Lab assistants were very helpful. New books were regularly added. Good teaching methods and examples.,1,0,0,1,1,1
431,Ms. Joshi,Economics,Evaluation was not up to the mark. Great support for extracurriculars. We had hands-on experience every week. The reading space in the library is great.,0,0,1,1,1,1
432,Dr. Verma,English,Continuous assessment was beneficial. Good teaching methods and examples. Great support for extracurriculars.,1,0,1,0,0,1
433,Ms. Rani,Chemistry,Course material was relevant and engaging. The teacher explains very clearly.,1,1,0,0,0,0
434,Mr. Iyer,Economics,The concepts were explained in a student-friendly way.,1,0,0,0,0,0
435,Ms. Rani,History,Lab assistants were very helpful.,0,0,0,1,0,0
436,Mr. Sharma,English,Library had enough resources. We had hands-on experience every week. Student clubs were very active. Course material was relevant and engaging.,0,1,0,1,1,1
437,Mr. Sharma,Biology,Course material was relevant and engaging.,0,1,0,0,0,0
438,Prof. Khan,Computer Science,Course material was relevant and engaging. The teacher encouraged student interaction. Library had enough resources. Evaluation was not up to the mark.,1,1,1,0,1,0
439,Ms. Joshi,History,The teacher explains very clearly. Evaluation was not up to the mark. We faced issues in accessing the digital library. The course covered all essential topics.,1,1,1,0,1,0
440,Prof. Khan,Physics,We had hands-on experience every week. The course covered all essential topics.,0,1,0,1,0,0
441,Prof. Khan,Computer Science,The course covered all essential topics. New books were regularly added. Good teaching methods and examples.,1,1,0,0,1,0
442,Dr. Mehta,History,Library was not maintained properly.,0,0,0,0,1,0
443,Mrs. Das,English,New books were regularly added. Labs were well-equipped and interesting.,0,0,0,1,1,0
444,Ms. Rani,History,The concepts were explained in a student-friendly way.,1,0,0,0,0,0
445,Dr. Verma,Chemistry,Library was not maintained properly.,0,0,0,0,1,0
446,Mr. Iyer,History,Labs were well-equipped and interesting. Not many extracurricular activities were encouraged. Library was not maintained properly. Continuous assessment was beneficial.,0,0,1,1,1,1
447,Ms. Joshi,English,Good teaching methods and examples. Exam patterns were predictable and easy.,1,0,1,0,0,0
448,Prof. Khan,Physics,New books were regularly added. Exam patterns were predictable and easy.,0,0,1,0,1,0
449,Dr. Verma,Biology,Great support for extracurriculars.,0,0,0,0,0,1
450,Ms. Rani,Economics,The syllabus was well-structured. Lab work was poorly managed. There were lots of workshops and events. Exam patterns were predictable and easy.,0,1,1,1,0,1
451,Mr. Sharma,Mathematics,Labs were well-equipped and interesting. Good teaching methods and examples. Exams were fair and well-balanced. The course covered all essential topics.,1,1,1,1,0,0
452,Ms. Rani,Mathematics,Great support for extracurriculars. Labs were well-equipped and interesting.,0,0,0,1,0,1
453,Mr. Sharma,Biology,We faced issues in accessing the digital library.,0,0,0,0,1,0
454,Dr. Mehta,Chemistry,The teacher encouraged student interaction. We faced issues in accessing the digital library. Evaluation was not up to the mark.,1,0,1,0,1,0
455,Ms. Rani,Physics,New books were regularly added. The concepts were explained in a student-friendly way. Lab assistants were very helpful.,1,0,0,1,1,0
456,Dr. Mehta,Computer Science,Not many extracurricular activities were encouraged. The reading space in the library is great. Labs were well-equipped and interesting.,0,0,0,1,1,1
457,Dr. Verma,Computer Science,The teacher was very supportive and helpful. We had hands-on experience every week.,1,0,0,1,0,0
458,Dr. Mehta,Computer Science,Lab assistants were very helpful.,0,0,0,1,0,0
459,Dr. Mehta,Physics,The questions in the exam were tricky. The teacher encouraged student interaction.,1,0,1,0,0,0
460,Dr. Mehta,Economics,Great support for extracurriculars.,0,0,0,0,0,1
461,Mr. Sharma,History,Great support for extracurriculars. The questions in the exam were tricky. Labs were well-equipped and interesting. The syllabus was well-structured.,0,1,1,1,0,1
462,Ms. Joshi,Economics,The course covered all essential topics. The teacher encouraged student interaction. Great support for extracurriculars. We faced issues in accessing the digital library.,1,1,0,0,1,1
463,Prof. Khan,Biology,There were lots of workshops and events. The learning resources were very helpful. We had hands-on experience every week.,0,1,0,1,0,1
464,Ms. Rani,Biology,Exam patterns were predictable and easy. Great support for extracurriculars. Course material was relevant and engaging. New books were regularly added.,0,1,1,0,1,1
465,Dr. Mehta,Biology,Loved the cultural and sports events. We faced issues in accessing the digital library.,0,0,0,0,1,1
466,Dr. Verma,Mathematics,Good teaching methods and examples. The learning resources were very helpful. The questions in the exam were tricky.,1,1,1,0,0,0
467,Mr. Iyer,Biology,Content was outdated. Not many extracurricular activities were encouraged. Continuous assessment was beneficial. The concepts were explained in a student-friendly way.,1,1,1,0,0,1
468,Prof. Khan,Biology,Labs were well-equipped and interesting.,0,0,0,1,0,0
469,Mr. Iyer,Mathematics,The course covered all essential topics. Library was not maintained properly. Student clubs were very active.,0,1,0,0,1,1
470,Ms. Rani,English,Continuous assessment was beneficial. Content was outdated. Lab sessions helped reinforce theory.,0,1,1,1,0,0
471,Dr. Mehta,Computer Science,The teacher was very supportive and helpful. Not many extracurricular activities were encouraged.,1,0,0,0,0,1
472,Ms. Joshi,Physics,Exam patterns were predictable and easy.,0,0,1,0,0,0
473,Dr. Mehta,History,Content was outdated. Labs were well-equipped and interesting. Exams were fair and well-balanced.,0,1,1,1,0,0
474,Dr. Verma,Mathematics,The concepts were explained in a student-friendly way. Not many extracurricular activities were encouraged. The questions in the exam were tricky. The learning resources were very helpful.,1,1,1,0,0,1
475,Mrs. Das,Mathematics,The learning resources were very helpful. New books were regularly added.,0,1,0,0,1,0
476,Dr. Mehta,Economics,Student clubs were very active. Labs were well-equipped and interesting.,0,0,0,1,0,1
477,Mrs. Das,English,The learning resources were very helpful.,0,1,0,0,0,0
478,Ms. Joshi,Computer Science,Continuous assessment was beneficial. Course material was relevant and engaging. Library was not maintained properly. Loved the cultural and sports events.,0,1,1,0,1,1
479,Mr. Iyer,Biology,Evaluation was not up to the mark. Labs were well-equipped and interesting.,0,0,1,1,0,0
480,Ms. Rani,Mathematics,The questions in the exam were tricky. Lab assistants were very helpful. There were lots of workshops and events.,0,0,1,1,0,1
481,Dr. Mehta,English,Good teaching methods and examples. There were lots of workshops and events.,1,0,0,0,0,1
482,Prof. Khan,Chemistry,Content was outdated. There were lots of workshops and events. The teacher was very supportive and helpful.,1,1,0,0,0,1
483,Mrs. Das,Biology,Exams were fair and well-balanced.,0,0,1,0,0,0
484,Dr. Mehta,Physics,Library was not maintained properly. There were lots of workshops and events. Labs were well-equipped and interesting.,0,0,0,1,1,1
485,Prof. Khan,English,New books were regularly added. Continuous assessment was beneficial.,0,0,1,0,1,0
486,Ms. Rani,History,Continuous assessment was beneficial. Good teaching methods and examples. Content was outdated.,1,1,1,0,0,0
487,Ms. Joshi,Physics,Great support for extracurriculars. Labs were well-equipped and interesting. The teacher explains very clearly. Continuous assessment was beneficial.,1,0,1,1,0,1
488,Dr. Mehta,Economics,Lab sessions helped reinforce theory. There were lots of workshops and events. Exam patterns were predictable and easy.,0,0,1,1,0,1
489,Ms. Joshi,Computer Science,The learning resources were very helpful. Good teaching methods and examples.,1,1,0,0,0,0
490,Ms. Joshi,Economics,The learning resources were very helpful. Labs were well-equipped and interesting. Continuous assessment was beneficial.,0,1,1,1,0,0
491,Prof. Khan,Biology,The concepts were explained in a student-friendly way.,1,0,0,0,0,0
492,Mr. Sharma,Chemistry,Great support for extracurriculars. The teacher encouraged student interaction.,1,0,0,0,0,1
493,Dr. Mehta,Chemistry,Labs were well-equipped and interesting.,0,0,0,1,0,0
494,Mrs. Das,Computer Science,New books were regularly added. Course material was relevant and engaging.,0,1,0,0,1,0
495,Mr. Sharma,Chemistry,Content was outdated. Not many extracurricular activities were encouraged. The teacher was very supportive and helpful.,1,1,0,0,0,1
496,Prof. Khan,Biology,Lab sessions helped reinforce theory. Great support for extracurriculars. Continuous assessment was beneficial.,0,0,1,1,0,1
497,Ms. Rani,Economics,Library was not maintained properly. The learning resources were very helpful.,0,1,0,0,1,0
498,Mr. Sharma,English,The questions in the exam were tricky. The concepts were explained in a student-friendly way. Labs were well-equipped and interesting. Student clubs were very active.,1,0,1,1,0,1
499,Mr. Sharma,Physics,We faced issues in accessing the digital library. Exam patterns were predictable and easy. The syllabus was well-structured. Great support for extracurriculars.,0,1,1,0,1,1
500,Dr. Verma,English,Loved the cultural and sports events.,0,0,0,0,0,1
501,Dr. Mehta,English,We faced issues in accessing the digital library. The learning resources were very helpful.,0,1,0,0,1,0
502,Mr. Sharma,English,The reading space in the library is great.,0,0,0,0,1,0
503,Dr. Verma,Economics,The concepts were explained in a student-friendly way.,1,0,0,0,0,0
504,Mrs. Das,Mathematics,The questions in the exam were tricky. Good teaching methods and examples.,1,0,1,0,0,0
505,Mr. Iyer,Biology,The course covered all essential topics. Exams were fair and well-balanced.,0,1,1,0,0,0
506,Ms. Rani,Computer Science,Good teaching methods and examples. Continuous assessment was beneficial. Labs were well-equipped and interesting. Course material was relevant and engaging.,1,1,1,1,0,0
507,Dr. Mehta,Biology,Student clubs were very active. Exams were fair and well-balanced. Library was not maintained properly.,0,0,1,0,1,1
508,Dr. Verma,Biology,Lab sessions helped reinforce theory. The teacher was very supportive and helpful. Loved the cultural and sports events.,1,0,0,1,0,1
509,Dr. Mehta,Chemistry,The learning resources were very helpful.,0,1,0,0,0,0
510,Mr. Iyer,Physics,Course material was relevant and engaging. Not many extracurricular activities were encouraged. Labs were well-equipped and interesting.,0,1,0,1,0,1
511,Mr. Sharma,Physics,We faced issues in accessing the digital library. The questions in the exam were tricky. Lab sessions helped reinforce theory. Content was outdated.,0,1,1,1,1,0
512,Mr. Sharma,Economics,Lab work was poorly managed. Library was not maintained properly.,0,0,0,1,1,0
513,Prof. Khan,Physics,The teacher was very supportive and helpful. There were lots of workshops and events. Continuous assessment was beneficial.,1,0,1,0,0,1
514,Mr. Sharma,Economics,Loved the cultural and sports events. Content was outdated. The teacher encouraged student interaction.,1,1,0,0,0,1
515,Ms. Joshi,Physics,Exam patterns were predictable and easy. There were lots of workshops and events. The course covered all essential topics. We faced issues in accessing the digital library.,0,1,1,0,1,1
516,Dr. Mehta,Chemistry,Library was not maintained properly.,0,0,0,0,1,0
517,Dr. Mehta,Physics,Great support for extracurriculars. Lab assistants were very helpful. The learning resources were very helpful. Library had enough resources.,0,1,0,1,1,1
518,Mrs. Das,Economics,Evaluation was not up to the mark.,0,0,1,0,0,0
519,Mr. Sharma,History,Great support for extracurriculars. Content was outdated. We had hands-on experience every week. The questions in the exam were tricky.,0,1,1,1,0,1
520,Mr. Sharma,History,The course covered all essential topics. The reading space in the library is great. Exams were fair and well-balanced. The teacher was very supportive and helpful.,1,1,1,0,1,0
521,Ms. Joshi,Chemistry,Student clubs were very active. Continuous assessment was beneficial. New books were regularly added. Lab assistants were very helpful.,0,0,1,1,1,1
522,Ms. Joshi,Computer Science,We had hands-on experience every week. The teacher was very supportive and helpful.,1,0,0,1,0,0
523,Dr. Verma,History,Lab sessions helped reinforce theory.,0,0,0,1,0,0
524,Dr. Verma,Mathematics,The reading space in the library is great. The syllabus was well-structured. Lab sessions helped reinforce theory.,0,1,0,1,1,0
525,Mr. Sharma,English,Lab sessions helped reinforce theory. Continuous assessment was beneficial.,0,0,1,1,0,0
526,Mr. Iyer,Chemistry,Lab work was poorly managed.,0,0,0,1,0,0
527,Ms. Joshi,History,Great support for extracurriculars. Library had enough resources. The learning resources were very helpful.,0,1,0,0,1,1
528,Prof. Khan,Physics,Course material was relevant and engaging. The reading space in the library is great. Lab work was poorly managed. The questions in the exam were tricky.,0,1,1,1,1,0
529,Mrs. Das,History,Great support for extracurriculars. Lab work was poorly managed.,0,0,0,1,0,1
530,Mr. Iyer,Chemistry,The concepts were explained in a student-friendly way.,1,0,0,0,0,0
531,Dr. Verma,Biology,We had hands-on experience every week.,0,0,0,1,0,0
532,Mrs. Das,Chemistry,Evaluation was not up to the mark. Not many extracurricular activities were encouraged. Lab work was poorly managed. Course material was relevant and engaging.,0,1,1,1,0,1
533,Ms. Joshi,History,The teacher encouraged student interaction. Evaluation was not up to the mark.,1,0,1,0,0,0
534,Mrs. Das,History,There were lots of workshops and events. Exams were fair and well-balanced.,0,0,1,0,0,1
535,Ms. Rani,Economics,Labs were well-equipped and interesting. The concepts were explained in a student-friendly way. The questions in the exam were tricky.,1,0,1,1,0,0
536,Mrs. Das,History,Library had enough resources. Exam patterns were predictable and easy.,0,0,1,0,1,0
537,Dr. Verma,Mathematics,Evaluation was not up to the mark. The course covered all essential topics. Great support for extracurriculars. Lab work was poorly managed.,0,1,1,1,0,1
538,Prof. Khan,Physics,Library was not maintained properly.,0,0,0,0,1,0
539,Mr. Iyer,English,The questions in the exam were tricky. The teacher was very supportive and helpful. Library had enough resources.,1,0,1,0,1,0
540,Dr. Mehta,English,We faced issues in accessing the digital library. The teacher was very supportive and helpful.,1,0,0,0,1,0
541,Ms. Joshi,Biology,Lab assistants were very helpful. Course material was relevant and engaging. Student clubs were very active.,0,1,0,1,0,1
542,Mr. Iyer,Chemistry,The questions in the exam were tricky. Not many extracurricular activities were encouraged. Course material was relevant and engaging.,0,1,1,0,0,1
543,Mr. Sharma,History,Lab sessions helped reinforce theory. The syllabus was well-structured. Good teaching methods and examples. The reading space in the library is great.,1,1,0,1,1,0
544,Dr. Mehta,Economics,We faced issues in accessing the digital library. Lab assistants were very helpful. The course covered all essential topics. Exams were fair and well-balanced.,0,1,1,1,1,0
545,Prof. Khan,English,There were lots of workshops and events. The teacher encouraged student interaction. Library was not maintained properly.,1,0,0,0,1,1
546,Mr. Sharma,Chemistry,Exams were fair and well-balanced. Good teaching methods and examples. We had hands-on experience every week. Course material was relevant and engaging.,1,1,1,1,0,0
547,Dr. Mehta,History,Great support for extracurriculars. New books were regularly added. The teacher encouraged student interaction. Evaluation was not up to the mark.,1,0,1,0,1,1
548,Dr. Verma,Economics,Labs were well-equipped and interesting.,0,0,0,1,0,0
549,Ms. Rani,Computer Science,The questions in the exam were tricky.,0,0,1,0,0,0
550,Dr. Mehta,Physics,New books were regularly added. The questions in the exam were tricky. Lab work was poorly managed.,0,0,1,1,1,0
551,Ms. Rani,Physics,Good teaching methods and examples.,1,0,0,0,0,0
552,Ms. Joshi,History,The questions in the exam were tricky. The learning resources were very helpful.,0,1,1,0,0,0
553,Dr. Verma,English,Great support for extracurriculars.,0,0,0,0,0,1
554,Dr. Mehta,Mathematics,Not many extracurricular activities were encouraged. The questions in the exam were tricky. The syllabus was well-structured.,0,1,1,0,0,1
555,Dr. Mehta,Biology,Lab work was poorly managed. Continuous assessment was beneficial. Student clubs were very active. The teacher encouraged student interaction.,1,0,1,1,0,1
556,Ms. Joshi,Economics,Good teaching methods and examples. Student clubs were very active. The syllabus was well-structured. Exam patterns were predictable and easy.,1,1,1,0,0,1
557,Ms. Joshi,History,Not many extracurricular activities were encouraged. Labs were well-equipped and interesting. We faced issues in accessing the digital library. Exams were fair and well-balanced.,0,0,1,1,1,1
558,Ms. Joshi,English,The teacher encouraged student interaction. We faced issues in accessing the digital library.,1,0,0,0,1,0
559,Ms. Rani,Computer Science,Loved the cultural and sports events.,0,0,0,0,0,1
560,Mrs. Das,Biology,The course covered all essential topics. There were lots of workshops and events.,0,1,0,0,0,1
561,Dr. Verma,Computer Science,Student clubs were very active. The learning resources were very helpful. Exam patterns were predictable and easy. We had hands-on experience every week.,0,1,1,1,0,1
562,Dr. Verma,Economics,The teacher encouraged student interaction.,1,0,0,0,0,0
563,Mr. Iyer,Physics,The learning resources were very helpful. Exam patterns were predictable and easy.,0,1,1,0,0,0
564,Dr. Verma,Mathematics,Exams were fair and well-balanced.,0,0,1,0,0,0
565,Ms. Joshi,English,Student clubs were very active. Labs were well-equipped and interesting. The syllabus was well-structured. Continuous assessment was beneficial.,0,1,1,1,0,1
566,Mr. Iyer,Physics,New books were regularly added. Continuous assessment was beneficial.,0,0,1,0,1,0
567,Dr. Verma,Physics,The teacher encouraged student interaction. Great support for extracurriculars. We had hands-on experience every week.,1,0,0,1,0,1
568,Mrs. Das,Biology,Library was not maintained properly.,0,0,0,0,1,0
569,Ms. Rani,Mathematics,Not many extracurricular activities were encouraged. The course covered all essential topics. We had hands-on experience every week.,0,1,0,1,0,1
570,Mrs. Das,Economics,Exam patterns were predictable and easy. The course covered all essential topics.,0,1,1,0,0,0
571,Mrs. Das,History,Content was outdated.,0,1,0,0,0,0
572,Mr. Sharma,History,Great support for extracurriculars. Course material was relevant and engaging. Good teaching methods and examples. Library had enough resources.,1,1,0,0,1,1
573,Mr. Sharma,Mathematics,Evaluation was not up to the mark. The syllabus was well-structured. New books were regularly added.,0,1,1,0,1,0
574,Ms. Rani,Biology,Library had enough resources.,0,0,0,0,1,0
575,Ms. Rani,Computer Science,Library had enough resources.,0,0,0,0,1,0
576,Ms. Rani,English,Continuous assessment was beneficial. The course covered all essential topics.,0,1,1,0,0,0
577,Ms. Rani,Biology,Exam patterns were predictable and easy. Good teaching methods and examples. Content was outdated. Lab work was poorly managed.,1,1,1,1,0,0
578,Mr. Sharma,Computer Science,New books were regularly added. We had hands-on experience every week.,0,0,0,1,1,0
579,Dr. Mehta,Biology,The learning resources were very helpful. Student clubs were very active. Library had enough resources. Evaluation was not up to the mark.,0,1,1,0,1,1
580,Mr. Sharma,Computer Science,Evaluation was not up to the mark. The learning resources were very helpful. The concepts were explained in a student-friendly way. Library was not maintained properly.,1,1,1,0,1,0
581,Prof. Khan,Chemistry,Labs were well-equipped and interesting.,0,0,0,1,0,0
582,Prof. Khan,Physics,Library had enough resources. Lab work was poorly managed.,0,0,0,1,1,0
583,Mrs. Das,Mathematics,The course covered all essential topics. Good teaching methods and examples. Great support for extracurriculars.,1,1,0,0,0,1
584,Mr. Sharma,Computer Science,The syllabus was well-structured. Lab assistants were very helpful. The reading space in the library is great.,0,1,0,1,1,0
585,Mr. Iyer,English,Lab assistants were very helpful. Not many extracurricular activities were encouraged. Library had enough resources. The teacher encouraged student interaction.,1,0,0,1,1,1
586,Dr. Verma,Computer Science,Good teaching methods and examples. Student clubs were very active.,1,0,0,0,0,1
587,Mrs. Das,Economics,Lab work was poorly managed. Loved the cultural and sports events. The reading space in the library is great. Evaluation was not up to the mark.,0,0,1,1,1,1
588,Prof. Khan,Economics,Course material was relevant and engaging. The teacher was very supportive and helpful.,1,1,0,0,0,0
589,Mr. Sharma,English,The teacher explains very clearly. Evaluation was not up to the mark.,1,0,1,0,0,0
590,Prof. Khan,Physics,The concepts were explained in a student-friendly way. The reading space in the library is great. Labs were well-equipped and interesting.,1,0,0,1,1,0
591,Mr. Sharma,Economics,Course material was relevant and engaging.,0,1,0,0,0,0
592,Ms. Joshi,Chemistry,The reading space in the library is great. Loved the cultural and sports events. Evaluation was not up to the mark.,0,0,1,0,1,1
593,Mr. Sharma,Mathematics,The reading space in the library is great. Good teaching methods and examples. There were lots of workshops and events. Continuous assessment was beneficial.,1,0,1,0,1,1
594,Mr. Iyer,Economics,New books were regularly added. Great support for extracurriculars.,0,0,0,0,1,1
595,Prof. Khan,Physics,The teacher encouraged student interaction. There were lots of workshops and events. Course material was relevant and engaging.,1,1,0,0,0,1
596,Dr. Mehta,Economics,Continuous assessment was beneficial.,0,0,1,0,0,0
597,Prof. Khan,Biology,The teacher was very supportive and helpful.,1,0,0,0,0,0
598,Ms. Joshi,Physics,Great support for extracurriculars. Content was outdated. The teacher encouraged student interaction.,1,1,0,0,0,1
599,Prof. Khan,Biology,The concepts were explained in a student-friendly way. Lab work was poorly managed. Library was not maintained properly. Evaluation was not up to the mark.,1,0,1,1,1,0
600,Mrs. Das,Economics,Great support for extracurriculars.,0,0,0,0,0,1
601,Mrs. Das,English,Exam patterns were predictable and easy. Lab sessions helped reinforce theory. The syllabus was well-structured.,0,1,1,1,0,0
602,Ms. Joshi,History,Lab sessions helped reinforce theory. Loved the cultural and sports events.,0,0,0,1,0,1
603,Ms. Rani,History,The learning resources were very helpful.,0,1,0,0,0,0
604,Mr. Iyer,Computer Science,We had hands-on experience every week. Continuous assessment was beneficial.,0,0,1,1,0,0
605,Mrs. Das,Physics,Continuous assessment was beneficial. Library had enough resources. Course material was relevant and engaging.,0,1,1,0,1,0
606,Mr. Sharma,Economics,The learning resources were very helpful. Evaluation was not up to the mark. Good teaching methods and examples.,1,1,1,0,0,0
607,Dr. Mehta,Chemistry,We faced issues in accessing the digital library. The course covered all essential topics. Loved the cultural and sports events.,0,1,0,0,1,1
608,Dr. Mehta,History,Course material was relevant and engaging.,0,1,0,0,0,0
609,Mr. Sharma,Biology,Library was not maintained properly. Exam patterns were predictable and easy. The teacher was very supportive and helpful. We had hands-on experience every week.,1,0,1,1,1,0
610,Prof. Khan,Chemistry,Course material was relevant and engaging.,0,1,0,0,0,0
611,Mr. Iyer,Physics,We faced issues in accessing the digital library. The syllabus was well-structured. Evaluation was not up to the mark. Good teaching methods and examples.,1,1,1,0,1,0
612,Dr. Mehta,Economics,The learning resources were very helpful. Lab assistants were very helpful.,0,1,0,1,0,0
613,Mr. Sharma,Computer Science,Library had enough resources. The syllabus was well-structured. Evaluation was not up to the mark.,0,1,1,0,1,0
614,Ms. Rani,History,Student clubs were very active.,0,0,0,0,0,1
615,Dr. Mehta,History,The reading space in the library is great. Exam patterns were predictable and easy. The teacher was very supportive and helpful. Content was outdated.,1,1,1,0,1,0
616,Ms. Joshi,Economics,The teacher explains very clearly. Lab work was poorly managed. The course covered all essential topics.,1,1,0,1,0,0
617,Mr. Sharma,History,Lab assistants were very helpful. New books were regularly added.,0,0,0,1,1,0
618,Ms. Joshi,Mathematics,The teacher encouraged student interaction. The course covered all essential topics. New books were regularly added. Great support for extracurriculars.,1,1,0,0,1,1
619,Ms. Rani,English,The reading space in the library is great. The syllabus was well-structured.,0,1,0,0,1,0
620,Ms. Joshi,History,The questions in the exam were tricky. Good teaching methods and examples. We faced issues in accessing the digital library. There were lots of workshops and events.,1,0,1,0,1,1
621,Dr. Verma,History,The concepts were explained in a student-friendly way. We faced issues in accessing the digital library. Lab sessions helped reinforce theory. The course covered all essential topics.,1,1,0,1,1,0
622,Mrs. Das,History,Student clubs were very active. The reading space in the library is great.,0,0,0,0,1,1
623,Prof. Khan,History,The concepts were explained in a student-friendly way. Lab sessions helped reinforce theory.,1,0,0,1,0,0
624,Dr. Verma,English,Student clubs were very active. Library had enough resources. Content was outdated. Labs were well-equipped and interesting.,0,1,0,1,1,1
625,Dr. Verma,English,The teacher was very supportive and helpful. There were lots of workshops and events. We faced issues in accessing the digital library. Lab sessions helped reinforce theory.,1,0,0,1,1,1
626,Mr. Iyer,Physics,Student clubs were very active.,0,0,0,0,0,1
627,Mr. Iyer,Economics,Lab sessions helped reinforce theory. Great support for extracurriculars.,0,0,0,1,0,1
628,Mrs. Das,Mathematics,The learning resources were very helpful. New books were regularly added. Exams were fair and well-balanced. Labs were well-equipped and interesting.,0,1,1,1,1,0
629,Dr. Verma,Biology,Lab assistants were very helpful. Content was outdated.,0,1,0,1,0,0
630,Ms. Rani,English,Evaluation was not up to the mark.,0,0,1,0,0,0
631,Dr. Mehta,Chemistry,Content was outdated. Evaluation was not up to the mark.,0,1,1,0,0,0
632,Ms. Rani,Physics,Good teaching methods and examples.,1,0,0,0,0,0
633,Mr. Iyer,History,The course covered all essential topics.,0,1,0,0,0,0
634,Ms. Rani,Physics,Student clubs were very active. The teacher encouraged student interaction. Evaluation was not up to the mark. The learning resources were very helpful.,1,1,1,0,0,1
635,Ms. Rani,English,Content was outdated. Library was not maintained properly. There were lots of workshops and events.,0,1,0,0,1,1
636,Dr. Verma,Computer Science,Content was outdated. We had hands-on experience every week. Evaluation was not up to the mark.,0,1,1,1,0,0
637,Mr. Iyer,Chemistry,The questions in the exam were tricky. Lab work was poorly managed. There were lots of workshops and events. The teacher explains very clearly.,1,0,1,1,0,1
638,Mr. Iyer,History,The teacher was very supportive and helpful. The course covered all essential topics. Lab assistants were very helpful.,1,1,0,1,0,0
639,Prof. Khan,Physics,The learning resources were very helpful. New books were regularly added.,0,1,0,0,1,0
640,Prof. Khan,Biology,The teacher encouraged student interaction.,1,0,0,0,0,0
641,Ms. Joshi,Biology,Course material was relevant and engaging. The teacher encouraged student interaction.,1,1,0,0,0,0
642,Prof. Khan,Chemistry,Library was not maintained properly.,0,0,0,0,1,0
643,Mr. Iyer,Computer Science,The teacher was very supportive and helpful. New books were regularly added. Evaluation was not up to the mark. Content was outdated.,1,1,1,0,1,0
644,Ms. Joshi,History,Course material was relevant and engaging. Student clubs were very active.,0,1,0,0,0,1
645,Ms. Joshi,Biology,Great support for extracurriculars. Lab work was poorly managed. The learning resources were very helpful.,0,1,0,1,0,1
646,Dr. Mehta,Chemistry,The concepts were explained in a student-friendly way.,1,0,0,0,0,0
647,Mr. Sharma,Chemistry,Library had enough resources. The teacher encouraged student interaction.,1,0,0,0,1,0
648,Ms. Rani,Chemistry,Exams were fair and well-balanced. We faced issues in accessing the digital library. We had hands-on experience every week.,0,0,1,1,1,0
649,Mr. Iyer,Biology,The teacher was very supportive and helpful. The reading space in the library is great.,1,0,0,0,1,0
650,Mr. Iyer,Economics,The concepts were explained in a student-friendly way. Labs were well-equipped and interesting.,1,0,0,1,0,0
651,Mr. Iyer,Computer Science,We had hands-on experience every week. Not many extracurricular activities were encouraged.,0,0,0,1,0,1
652,Ms. Joshi,Physics,Loved the cultural and sports events. Exam patterns were predictable and easy. Lab assistants were very helpful.,0,0,1,1,0,1
653,Mrs. Das,Chemistry,The questions in the exam were tricky. Library was not maintained properly. Lab work was poorly managed.,0,0,1,1,1,0
654,Ms. Rani,Economics,The syllabus was well-structured.,0,1,0,0,0,0
655,Mrs. Das,Economics,The syllabus was well-structured. Library had enough resources. Exams were fair and well-balanced.,0,1,1,0,1,0
656,Ms. Rani,Mathematics,Labs were well-equipped and interesting. Exam patterns were predictable and easy.,0,0,1,1,0,0
657,Dr. Mehta,History,Great support for extracurriculars.,0,0,0,0,0,1
658,Dr. Mehta,History,Not many extracurricular activities were encouraged. We faced issues in accessing the digital library. The teacher was very supportive and helpful. Lab sessions helped reinforce theory.,1,0,0,1,1,1
659,Mr. Sharma,Chemistry,Lab work was poorly managed. The teacher was very supportive and helpful. Library had enough resources. Evaluation was not up to the mark.,1,0,1,1,1,0
660,Mr. Iyer,Mathematics,Exam patterns were predictable and easy. Lab assistants were very helpful. The course covered all essential topics.,0,1,1,1,0,0
661,Ms. Rani,Biology,Not many extracurricular activities were encouraged.,0,0,0,0,0,1
662,Prof. Khan,Physics,The teacher encouraged student interaction.,1,0,0,0,0,0
663,Mr. Sharma,History,Library was not maintained properly.,0,0,0,0,1,0
664,Mrs. Das,Biology,The syllabus was well-structured. Student clubs were very active.,0,1,0,0,0,1
665,Dr. Verma,Physics,Course material was relevant and engaging. Not many extracurricular activities were encouraged.,0,1,0,0,0,1
666,Mrs. Das,Computer Science,Library was not maintained properly.,0,0,0,0,1,0
667,Mrs. Das,Economics,There were lots of workshops and events. Exam patterns were predictable and easy. Lab assistants were very helpful. The concepts were explained in a student-friendly way.,1,0,1,1,0,1
